"Velocity_average:0","Velocity_average:1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.055921,0.044405,1,0.1535,-0.48,0.6535,0
0.055946,0.044323,1,0.154,-0.48,0.654,0
0.055971,0.044242,1,0.1545,-0.48,0.6545,0
0.055997,0.04416,1,0.155,-0.48,0.655,0
0.056022,0.044078,1,0.1555,-0.48,0.6555,0
0.056047,0.043997,1,0.156,-0.48,0.656,0
0.056072,0.043915,1,0.1565,-0.48,0.6565,0
0.056098,0.043833,1,0.157,-0.48,0.657,0
0.056123,0.043752,1,0.1575,-0.48,0.6575,0
0.056145,0.043691,1,0.158,-0.48,0.658,0
0.05616,0.043629,1,0.1585,-0.48,0.6585,0
0.056166,0.043556,1,0.159,-0.48,0.659,0
0.056172,0.043484,1,0.1595,-0.48,0.6595,0
0.056178,0.043411,1,0.16,-0.48,0.66,0
0.056185,0.043339,1,0.1605,-0.48,0.6605,0
0.056191,0.043266,1,0.161,-0.48,0.661,0
0.056197,0.043194,1,0.1615,-0.48,0.6615,0
0.056203,0.043121,1,0.162,-0.48,0.662,0
0.056209,0.043049,1,0.1625,-0.48,0.6625,0
0.056215,0.042976,1,0.163,-0.48,0.663,0
0.056221,0.042904,1,0.1635,-0.48,0.6635,0
0.056228,0.042831,1,0.164,-0.48,0.664,0
0.056234,0.042759,1,0.1645,-0.48,0.6645,0
0.056237,0.042713,1,0.165,-0.48,0.665,0
0.056231,0.042656,1,0.1655,-0.48,0.6655,0
0.056218,0.042593,1,0.166,-0.48,0.666,0
0.056205,0.04253,1,0.1665,-0.48,0.6665,0
0.056192,0.042466,1,0.167,-0.48,0.667,0
0.056179,0.042403,1,0.1675,-0.48,0.6675,0
0.056166,0.04234,1,0.168,-0.48,0.668,0
0.056153,0.042276,1,0.1685,-0.48,0.6685,0
0.05614,0.042213,1,0.169,-0.48,0.669,0
0.056127,0.04215,1,0.1695,-0.48,0.6695,0
0.056114,0.042087,1,0.17,-0.48,0.67,0
0.056101,0.042023,1,0.1705,-0.48,0.6705,0
0.056088,0.04196,1,0.171,-0.48,0.671,0
0.056075,0.041901,1,0.1715,-0.48,0.6715,0
0.05606,0.041865,1,0.172,-0.48,0.672,0
0.056032,0.041815,1,0.1725,-0.48,0.6725,0
0.056,0.04176,1,0.173,-0.48,0.673,0
0.055968,0.041706,1,0.1735,-0.48,0.6735,0
0.055936,0.041652,1,0.174,-0.48,0.674,0
0.055903,0.041598,1,0.1745,-0.48,0.6745,0
0.055871,0.041544,1,0.175,-0.48,0.675,0
0.055839,0.04149,1,0.1755,-0.48,0.6755,0
0.055807,0.041436,1,0.176,-0.48,0.676,0
0.055775,0.041382,1,0.1765,-0.48,0.6765,0
0.055743,0.041327,1,0.177,-0.48,0.677,0
0.055711,0.041273,1,0.1775,-0.48,0.6775,0
0.055679,0.041219,1,0.178,-0.48,0.678,0
0.055654,0.041236,1,0.1785,-0.48,0.6785,0
0.055698,0.041204,1,0.179,-0.48,0.679,0
0.055745,0.041161,1,0.1795,-0.48,0.6795,0
0.055794,0.041114,1,0.18,-0.48,0.68,0
0.055842,0.041068,1,0.1805,-0.48,0.6805,0
0.055891,0.041021,1,0.181,-0.48,0.681,0
0.055939,0.040975,1,0.1815,-0.48,0.6815,0
0.055987,0.040928,1,0.182,-0.48,0.682,0
0.056036,0.040882,1,0.1825,-0.48,0.6825,0
0.056084,0.040835,1,0.183,-0.48,0.683,0
0.056132,0.040789,1,0.1835,-0.48,0.6835,0
0.056181,0.040742,1,0.184,-0.48,0.684,0
0.056229,0.040695,1,0.1845,-0.48,0.6845,0
0.056277,0.040649,1,0.185,-0.48,0.685,0
0.056326,0.040602,1,0.1855,-0.48,0.6855,0
0.056374,0.040556,1,0.186,-0.48,0.686,0
0.056416,0.040514,1,0.1865,-0.48,0.6865,0
0.056449,0.040478,1,0.187,-0.48,0.687,0
0.056486,0.040432,1,0.1875,-0.48,0.6875,0
0.056523,0.040385,1,0.188,-0.48,0.688,0
0.05656,0.040338,1,0.1885,-0.48,0.6885,0
0.056597,0.040291,1,0.189,-0.48,0.689,0
0.056634,0.040244,1,0.1895,-0.48,0.6895,0
0.056671,0.040197,1,0.19,-0.48,0.69,0
0.056708,0.04015,1,0.1905,-0.48,0.6905,0
0.056745,0.040103,1,0.191,-0.48,0.691,0
0.056782,0.040056,1,0.1915,-0.48,0.6915,0
0.056819,0.040009,1,0.192,-0.48,0.692,0
0.056856,0.039962,1,0.1925,-0.48,0.6925,0
0.056893,0.039915,1,0.193,-0.48,0.693,0
0.05693,0.039868,1,0.1935,-0.48,0.6935,0
0.056968,0.039821,1,0.194,-0.48,0.694,0
0.056997,0.039778,1,0.1945,-0.48,0.6945,0
0.057019,0.039738,1,0.195,-0.48,0.695,0
0.057045,0.039691,1,0.1955,-0.48,0.6955,0
0.057071,0.039643,1,0.196,-0.48,0.696,0
0.057096,0.039596,1,0.1965,-0.48,0.6965,0
0.057122,0.039548,1,0.197,-0.48,0.697,0
0.057148,0.039501,1,0.1975,-0.48,0.6975,0
0.057174,0.039453,1,0.198,-0.48,0.698,0
0.057199,0.039406,1,0.1985,-0.48,0.6985,0
0.057225,0.039359,1,0.199,-0.48,0.699,0
0.057251,0.039311,1,0.1995,-0.48,0.6995,0
0.057277,0.039264,1,0.2,-0.48,0.7,0
0.057302,0.039216,1,0.2005,-0.48,0.7005,0
0.057328,0.039169,1,0.201,-0.48,0.701,0
0.057354,0.039121,1,0.2015,-0.48,0.7015,0
0.05738,0.039074,1,0.202,-0.48,0.702,0
0.057396,0.039029,1,0.2025,-0.48,0.7025,0
0.057409,0.038984,1,0.203,-0.48,0.703,0
0.057423,0.038936,1,0.2035,-0.48,0.7035,0
0.057437,0.038888,1,0.204,-0.48,0.704,0
0.057452,0.03884,1,0.2045,-0.48,0.7045,0
0.057466,0.038792,1,0.205,-0.48,0.705,0
0.057481,0.038745,1,0.2055,-0.48,0.7055,0
0.057495,0.038697,1,0.206,-0.48,0.706,0
0.05751,0.038649,1,0.2065,-0.48,0.7065,0
0.057524,0.038601,1,0.207,-0.48,0.707,0
0.057538,0.038553,1,0.2075,-0.48,0.7075,0
0.057553,0.038505,1,0.208,-0.48,0.708,0
0.057567,0.038457,1,0.2085,-0.48,0.7085,0
0.057582,0.03841,1,0.209,-0.48,0.709,0
0.057596,0.038362,1,0.2095,-0.48,0.7095,0
0.057611,0.038314,1,0.21,-0.48,0.71,0
0.057615,0.038265,1,0.2105,-0.48,0.7105,0
0.057617,0.038217,1,0.211,-0.48,0.711,0
0.05762,0.038169,1,0.2115,-0.48,0.7115,0
0.057623,0.03812,1,0.212,-0.48,0.712,0
0.057626,0.038072,1,0.2125,-0.48,0.7125,0
0.057629,0.038024,1,0.213,-0.48,0.713,0
0.057632,0.037975,1,0.2135,-0.48,0.7135,0
0.057635,0.037927,1,0.214,-0.48,0.714,0
0.057639,0.037879,1,0.2145,-0.48,0.7145,0
0.057642,0.037831,1,0.215,-0.48,0.715,0
0.057645,0.037782,1,0.2155,-0.48,0.7155,0
0.057648,0.037734,1,0.216,-0.48,0.716,0
0.057651,0.037686,1,0.2165,-0.48,0.7165,0
0.057654,0.037637,1,0.217,-0.48,0.717,0
0.057657,0.037589,1,0.2175,-0.48,0.7175,0
0.05766,0.037541,1,0.218,-0.48,0.718,0
0.057683,0.03753,1,0.2185,-0.48,0.7185,0
0.057705,0.03748,1,0.219,-0.48,0.719,0
0.057726,0.037433,1,0.2195,-0.48,0.7195,0
0.057746,0.037386,1,0.22,-0.48,0.72,0
0.057767,0.037339,1,0.2205,-0.48,0.7205,0
0.057788,0.037292,1,0.221,-0.48,0.721,0
0.057808,0.037244,1,0.2215,-0.48,0.7215,0
