Velocity_average:0,Points:1
1.1888,0.9075
1.1888,0.908
1.1888,0.9085
1.1888,0.909
1.1888,0.9095
1.1888,0.91
1.1888,0.9105
1.1889,0.911
1.1889,0.9115
1.1889,0.912
1.1889,0.9125
1.1889,0.913
1.1889,0.9135
1.1889,0.914
1.1889,0.9145
1.1889,0.915
1.1889,0.9155
1.1889,0.916
1.1889,0.9165
1.1889,0.917
1.1889,0.9175
1.1889,0.918
1.1889,0.9185
1.189,0.919
1.189,0.9195
1.189,0.92
1.189,0.9205
1.189,0.921
1.189,0.9215
1.189,0.922
1.189,0.9225
1.189,0.923
1.189,0.9235
1.189,0.924
1.189,0.9245
1.189,0.925
1.189,0.9255
1.189,0.926
1.189,0.9265
1.189,0.927
1.189,0.9275
1.189,0.928
1.189,0.9285
1.189,0.929
1.189,0.9295
1.189,0.93
1.189,0.9305
1.189,0.931
1.189,0.9315
1.189,0.932
1.189,0.9325
1.189,0.933
1.189,0.9335
1.189,0.934
1.189,0.9345
1.189,0.935
1.189,0.9355
1.189,0.936
1.189,0.9365
1.189,0.937
1.189,0.9375
1.1889,0.938
1.1889,0.9385
1.1889,0.939
1.1889,0.9395
1.1889,0.94
1.1889,0.9405
1.1889,0.941
1.1889,0.9415
1.1889,0.942
1.1889,0.9425
1.1889,0.943
1.1889,0.9435
1.1889,0.944
1.1889,0.9445
1.1889,0.945
1.1889,0.9455
1.1889,0.946
1.1888,0.9465
1.1888,0.947
1.1888,0.9475
1.1888,0.948
1.1887,0.9485
1.1887,0.949
1.1887,0.9495
1.1887,0.95
1.1886,0.9505
1.1886,0.951
1.1886,0.9515
1.1886,0.952
1.1886,0.9525
1.1885,0.953
1.1885,0.9535
1.1885,0.954
1.1885,0.9545
1.1884,0.955
1.1884,0.9555
1.1884,0.956
1.1884,0.9565
1.1884,0.957
1.1883,0.9575
1.1883,0.958
1.1883,0.9585
1.1883,0.959
1.1882,0.9595
1.1882,0.96
1.1882,0.9605
1.1882,0.961
1.1881,0.9615
1.1881,0.962
1.1881,0.9625
1.1881,0.963
1.1881,0.9635
1.1881,0.964
1.1881,0.9645
1.188,0.965
1.188,0.9655
1.188,0.966
1.188,0.9665
1.1879,0.967
1.1879,0.9675
1.1879,0.968
1.1879,0.9685
1.1879,0.969
1.1878,0.9695
1.1878,0.97
1.1878,0.9705
1.1878,0.971
1.1878,0.9715
1.1877,0.972
1.1877,0.9725
1.1877,0.973
1.1877,0.9735
1.1876,0.974
1.1876,0.9745
1.1876,0.975
1.1876,0.9755
1.1876,0.976
1.1875,0.9765
1.1875,0.977
1.1875,0.9775
1.1875,0.978
1.1875,0.9785
1.1874,0.979
1.1874,0.9795
1.1874,0.98
1.1874,0.9805
1.1874,0.981
1.1874,0.9815
1.1873,0.982
1.1873,0.9825
1.1873,0.983
1.1873,0.9835
1.1873,0.984
1.1872,0.9845
1.1872,0.985
1.1872,0.9855
1.1872,0.986
1.1872,0.9865
1.1871,0.987
1.1871,0.9875
1.1871,0.988
1.1871,0.9885
1.1871,0.989
1.187,0.9895
1.187,0.99
1.187,0.9905
1.187,0.991
1.187,0.9915
1.1869,0.992
1.1869,0.9925
1.1869,0.993
1.1869,0.9935
1.1869,0.994
1.1868,0.9945
1.1868,0.995
1.1868,0.9955
1.1868,0.996
1.1868,0.9965
1.1868,0.997
1.1868,0.9975
1.1867,0.998
1.1867,0.9985
1.1867,0.999
1.1867,0.9995
1.1867,1
