Velocity_average:0,Points:1,,Velocity_average:0,Points:1
1.16552,0.736,,1.16588,0.736
1.16574,0.7365,,1.16614,0.7365
1.1659,0.737,,1.16632,0.737
1.16604,0.7375,,1.1665,0.7375
1.16616,0.738,,1.16666,0.738
1.16628,0.7385,,1.1668,0.7385
1.16638,0.739,,1.16694,0.739
1.1665,0.7395,,1.1671,0.7395
1.16662,0.74,,1.16724,0.74
1.16674,0.7405,,1.1674,0.7405
1.16684,0.741,,1.16754,0.741
1.16696,0.7415,,1.1677,0.7415
1.16708,0.742,,1.16784,0.742
1.16718,0.7425,,1.168,0.7425
1.1673,0.743,,1.16814,0.743
1.16742,0.7435,,1.1683,0.7435
1.16752,0.744,,1.16844,0.744
1.16764,0.7445,,1.1686,0.7445
1.16776,0.745,,1.16874,0.745
1.16786,0.7455,,1.16888,0.7455
1.1679,0.746,,1.16896,0.746
1.16794,0.7465,,1.16902,0.7465
1.16792,0.747,,1.16904,0.747
1.1679,0.7475,,1.16906,0.7475
1.16786,0.748,,1.16908,0.748
1.16784,0.7485,,1.16908,0.7485
1.16782,0.749,,1.1691,0.749
1.1678,0.7495,,1.16912,0.7495
1.16778,0.75,,1.16914,0.75
1.16776,0.7505,,1.16916,0.7505
1.16774,0.751,,1.16918,0.751
1.16772,0.7515,,1.1692,0.7515
1.16768,0.752,,1.16922,0.752
1.16766,0.7525,,1.16924,0.7525
1.16764,0.753,,1.16924,0.753
1.16762,0.7535,,1.16926,0.7535
1.1676,0.754,,1.16928,0.754
1.16758,0.7545,,1.1693,0.7545
1.1675,0.755,,1.16926,0.755
1.16742,0.7555,,1.16922,0.7555
1.16726,0.756,,1.1691,0.756
1.1671,0.7565,,1.169,0.7565
1.16694,0.757,,1.16888,0.757
1.1668,0.7575,,1.16876,0.7575
1.16664,0.758,,1.16864,0.758
1.16648,0.7585,,1.16854,0.7585
1.16632,0.759,,1.16842,0.759
1.16616,0.7595,,1.1683,0.7595
1.166,0.76,,1.1682,0.76
1.16584,0.7605,,1.16808,0.7605
1.16568,0.761,,1.16796,0.761
1.16552,0.7615,,1.16786,0.7615
1.16536,0.762,,1.16774,0.762
1.1652,0.7625,,1.16762,0.7625
1.16504,0.763,,1.1675,0.763
1.16488,0.7635,,1.1674,0.7635
1.1647,0.764,,1.16724,0.764
1.16496,0.7645,,1.16754,0.7645
1.16522,0.765,,1.1678,0.765
1.16546,0.7655,,1.16806,0.7655
1.1657,0.766,,1.16832,0.766
1.16594,0.7665,,1.16858,0.7665
1.16618,0.767,,1.16884,0.767
1.16642,0.7675,,1.1691,0.7675
1.16666,0.768,,1.16936,0.768
1.1669,0.7685,,1.16962,0.7685
1.16714,0.769,,1.16988,0.769
1.16738,0.7695,,1.17014,0.7695
1.16762,0.77,,1.1704,0.77
1.16786,0.7705,,1.17068,0.7705
1.1681,0.771,,1.17094,0.771
1.16834,0.7715,,1.1712,0.7715
1.16858,0.772,,1.17146,0.772
1.16882,0.7725,,1.17172,0.7725
1.16906,0.773,,1.17198,0.773
1.1693,0.7735,,1.17224,0.7735
1.16954,0.774,,1.1725,0.774
1.16976,0.7745,,1.17274,0.7745
1.16996,0.775,,1.17294,0.775
1.17014,0.7755,,1.17314,0.7755
1.1703,0.776,,1.17332,0.776
1.17048,0.7765,,1.17352,0.7765
1.17064,0.777,,1.1737,0.777
1.17082,0.7775,,1.17388,0.7775
1.17098,0.778,,1.17406,0.778
1.17116,0.7785,,1.17426,0.7785
1.17132,0.779,,1.17444,0.779
1.17148,0.7795,,1.17462,0.7795
1.17166,0.78,,1.17482,0.78
1.17182,0.7805,,1.175,0.7805
1.172,0.781,,1.17518,0.781
1.17216,0.7815,,1.17536,0.7815
1.17234,0.782,,1.17556,0.782
1.1725,0.7825,,1.17574,0.7825
1.17268,0.783,,1.17592,0.783
1.17284,0.7835,,1.1761,0.7835
1.173,0.784,,1.1763,0.784
1.17318,0.7845,,1.17648,0.7845
1.17332,0.785,,1.17664,0.785
1.17346,0.7855,,1.17678,0.7855
1.17358,0.786,,1.17692,0.786
1.17368,0.7865,,1.17702,0.7865
1.17376,0.787,,1.17714,0.787
1.17386,0.7875,,1.17724,0.7875
1.17396,0.788,,1.17736,0.788
1.17406,0.7885,,1.17746,0.7885
1.17416,0.789,,1.17758,0.789
1.17426,0.7895,,1.17768,0.7895
1.17436,0.79,,1.1778,0.79
1.17446,0.7905,,1.1779,0.7905
1.17454,0.791,,1.17802,0.791
1.17464,0.7915,,1.17812,0.7915
1.17474,0.792,,1.17824,0.792
1.17484,0.7925,,1.17834,0.7925
1.17494,0.793,,1.17846,0.793
1.17504,0.7935,,1.17856,0.7935
1.17514,0.794,,1.17868,0.794
1.17524,0.7945,,1.17878,0.7945
1.17532,0.795,,1.1789,0.795
1.17542,0.7955,,1.17898,0.7955
1.17546,0.796,,1.17906,0.796
1.17552,0.7965,,1.17912,0.7965
1.17554,0.797,,1.17914,0.797
1.17556,0.7975,,1.17918,0.7975
1.1756,0.798,,1.17922,0.798
1.17562,0.7985,,1.17926,0.7985
1.17564,0.799,,1.17928,0.799
1.17568,0.7995,,1.17932,0.7995
1.1757,0.8,,1.17936,0.8
1.17572,0.8005,,1.1794,0.8005
1.17576,0.801,,1.17942,0.801
1.17578,0.8015,,1.17946,0.8015
1.1758,0.802,,1.1795,0.802
1.17582,0.8025,,1.17954,0.8025
1.17586,0.803,,1.17956,0.803
1.17588,0.8035,,1.1796,0.8035
1.1759,0.804,,1.17964,0.804
1.17594,0.8045,,1.17966,0.8045
1.17596,0.805,,1.1797,0.805
1.17598,0.8055,,1.17974,0.8055
1.176,0.806,,1.17976,0.806
1.17598,0.8065,,1.17976,0.8065
1.17596,0.807,,1.17974,0.807
1.17592,0.8075,,1.1797,0.8075
1.17588,0.808,,1.17966,0.808
1.17584,0.8085,,1.17962,0.8085
1.17578,0.809,,1.17958,0.809
1.17574,0.8095,,1.17954,0.8095
1.1757,0.81,,1.1795,0.81
1.17566,0.8105,,1.17946,0.8105
1.1756,0.811,,1.17942,0.811
1.17556,0.8115,,1.17938,0.8115
1.17552,0.812,,1.17934,0.812
1.17546,0.8125,,1.1793,0.8125
1.17542,0.813,,1.17926,0.813
1.17538,0.8135,,1.17922,0.8135
1.17534,0.814,,1.17918,0.814
1.17528,0.8145,,1.17914,0.8145
1.17524,0.815,,1.1791,0.815
1.1752,0.8155,,1.17906,0.8155
1.17516,0.816,,1.17902,0.816
1.17512,0.8165,,1.17898,0.8165
1.17524,0.817,,1.17912,0.817
1.17538,0.8175,,1.17926,0.8175
1.1755,0.818,,1.17938,0.818
1.17562,0.8185,,1.1795,0.8185
1.17572,0.819,,1.17964,0.819
1.17584,0.8195,,1.17976,0.8195
1.17596,0.82,,1.17988,0.82
1.17608,0.8205,,1.18002,0.8205
1.1762,0.821,,1.18014,0.821
1.17632,0.8215,,1.18026,0.8215
1.17642,0.822,,1.1804,0.822
