Velocity:0,Velocity:1,Points:0,Points:1,Points:2,
0.0343072,-0.488215,0.039269902,0.51050901,0,0
0.033527099,-0.52204001,0.039269902,0.549779,0,0
0.032693502,-0.55513901,0.039269902,0.58904898,0,0
0.0318092,-0.587376,0.039269902,0.62831903,0,0
0.030878,-0.61863703,0.039269902,0.667588,0,0
0.029899999,-0.64892101,0.039269902,0.70685798,0,0
0.0288752,-0.67822802,0.039269902,0.74612802,0,0
0.027803499,-0.70655799,0.039269902,0.78539801,0,0
0.026688701,-0.73379201,0.039269902,0.82466799,0,0
0.0255355,-0.759835,0.039269902,0.86393797,0,0
0.0243438,-0.784688,0.039269902,0.90320802,0,0
0.0231137,-0.80835199,0.039269902,0.942478,0,0
0.0218451,-0.83082402,0.039269902,0.98174798,0,0
0.020542599,-0.85200799,0.039269902,1.0210201,0,0
0.0192116,-0.87183303,0.039269902,1.06029,0,0
0.017852001,-0.89030099,0.039269902,1.09956,0,0
0.0164639,-0.90741098,0.039269902,1.1388299,0,0
0.0150472,-0.923163,0.039269902,1.1781,0,0
0.0136071,-0.937482,0.039269902,1.21737,0,0
0.0121495,-0.95032698,0.039269902,1.25664,0,0
0.0106742,-0.96170002,0.039269902,1.29591,0,0
0.0091813896,-0.97159898,0.039269902,1.33518,0,0
0.0076709799,-0.98002398,0.039269902,1.37445,0,0
0.0061486601,-0.986929,0.039269902,1.41372,0,0
0.0046203998,-0.99230099,0.039269902,1.4529901,0,0
0.00308621,-0.99614102,0.039269902,1.49226,0,0
0.00154607,-0.99844903,0.039269902,1.53153,0,0
-4.0661198E-15,-0.99922401,0.039269902,1.5707999,0,0
-0.00154607,-0.99844903,0.039269902,1.61007,0,0
-0.00308621,-0.99614102,0.039269902,1.64934,0,0
-0.0046203998,-0.99230099,0.039269902,1.68861,0,0
-0.0061486601,-0.986929,0.039269902,1.72788,0,0
-0.0076709799,-0.98002398,0.039269902,1.76715,0,0
-0.0091813896,-0.97159898,0.039269902,1.80642,0,0
-0.0106742,-0.96170002,0.039269902,1.84569,0,0
